Trip no,Vendor name,Created at,Client name,Origin,Destination,Freight,Status,Remarks,Detail date,Handover to,Vehicle no,From,To,Mode,Amount,Status
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,AIRPORT,AIR,0,Pending
VND-056,SELF,16-08-2026,VENKATESH AUTOMOBILE PVT LTD,PUNE,PANTNAGAR,0,Pending,MCPL,16.08.2026,NA,PRTER,KHARABWADI,AIRPORT,AIR,0,Pending
VND-057,TUPE JI,17-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,17.08.2026,NA,TUPE JI,TALWADE,SING ROADLINES,ROAD,0,Pending
VND-058,SACHIN,17-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,17.08.2026,NA,MH12LT6492,MAHALUNGE,DEHU,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,DEHU,AIRPORT,AIR,0,Pending
VND-059,SACHIN,18-08-2026,AOR,DELHI,PUNE,0,Pending,DELIVERY,18.08.2026,NA,MH12WR1911,STATION,MAHALUNGE,TRAIN,0,Pending
VND-060,SHEIKH,18-08-2026,ATHARVA FOUNDRIES PVT. LTD.,PUNE,PANTNAGAR,0,Pending,BY TRAIN,18.08.2026,NA,MH14LL1098,AALANDI PHATA,STATION,ROAD-EXPRESS,0,Pending
,,,,,PANTNAGAR,0,Pending,PICK-UP IN DHIMESH INDUSTRIES COMPANY,,,,,,TRAIN,0,Pending
VND-061,SACHIN,18-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,18.08.2026,NA,MH12LT6492,TALWADE,AIRPORT,AIR,0,Pending
VND-062,SELF,18-08-2026,SIMMONDS MARSHAL LIMITED,PUNE,PANTNAGAR,0,Pending,MCPL,18.08.2026,NA,PORTER,BAMBOLI,HP CHOWK,AIR,0,Pending
VND-063,SACHIN,18-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,18.08.2026,NA,MH11BL6889,CHINCHWAD,KHARABWADI,TRAIN,0,Pending
,,,VENKATESH AUTOMOBILE PVT LTD,,PANTNAGAR,0,Pending,,,,,KHARABWADI,HP CHOWK,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,TRAIN,0,Pending
,,,SIMMONDS MARSHAL LIMITED,,PANTNAGAR,0,Pending,,,,,HP CHOWK,AIRPORT/STATION,AIR,0,Pending
VND-064,SACHIN,19-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,19.08.2026,NA,MH12WR1911,TALWADE,SING ROADLINES,ROAD,0,Pending
VND-065,SEIKH,19-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,19.08.2026,NA,MH14GD9306,CHINCHWAD,DEHU/TALWADE,TRAIN,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,DEHU/TALWADE,AIRPORT/STATION,AIR,0,Pending
VND-066,SACHIN,19-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,19.08.2026,NA,MH12WR1911,MAHALUNGE,AIRPORT,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-067,SELF,19-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,MCPL,19.08.2026,NA,OPEN VEHICLE,TALWADE,SING ROADLINES,ROAD,0,Pending
VND-068,SHEIKH,20-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,20.08.2026,NA,MH14LL1098,MAHALUNGE,AIRPORT,AIR,0,Pending
VND-069,SACHIN,21-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,21.08.2026,NA,MH11BL6889,CHICHWAD,STATION,TRAIN,0,Pending
VND-070,SACHIN,21-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,,21.08.2026,NA,MH12LT6492,MAHALUNGE,AIRPORT,AIR,0,Pending
VND-071,SACHIN,22-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,22.08.2026,NA,MH12LT6492,DEHU/TALWADE,SING ROADLINES,ROAD,0,Pending
,,,,,,0,Pending,,,,,,,ROAD,0,Pending
VND-072,SACHIN,22-08-2026,RK INDUSTRIES,PUNE,PANTNAGAR,0,Pending,,22.08.2026,NA,MH12LT6492,HADAPSAR,STATION,TRAIN,0,Pending
VND-073,SACHIN,22-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,22.08.2026,NA,MH12LT6492,DEHU/TALWADE,AIRPORT,AIR,0,Pending
VND-074,SACHIN,23-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,23.08.2026,NA,MH12WR1911,DEHU/TALWADE,AIRPORT,AIR,0,Pending
VND-075,SELF,24-08-2026,VENKATESH AUTOMOBILE PVT LTD,PUNE,PANTNAGAR,0,Pending,MCPL,24.08.2026,NA,PORTER,KHRABWADI,GODOWN,AIR,0,Pending
VND-076,SACHIN,24-08-2026,VENKATESH AUTOMOBILE PVT LTD,PUNE,PANTNAGAR,0,Pending,,24.08.2026,NA,MH11BL6889,GODOWN,AIRPORT,AIR,0,Pending
