"awb","date","mode","client","origin","destination","consignor","consignee","box","actual_wt","charge_wt","type_of_delivery","insured","remarks","clerk_name","status","frieght_charge","awb_charge","pickup_charge","delivery_charge","packaging_charge","handling_charge"
"204617","2026-05-09","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","7-Bag","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204618","2026-05-09","Air","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","1-Bag","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204619","2026-05-09","Train","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","11-Bag","0.00","400.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204620","2026-05-09","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22-Bag","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204832","2026-06-08","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","32","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204622","2026-05-10","Air","U. S. AUTO CONTROLS PVT LTD ","PUNE","CHENNAI","U. S. AUTO CONTROLS PVT LTD ","SM EXHAUST TECHNOLOGY PRIVATE LIMITED.","1-Bag ","0.00","50.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204623","2026-05-10","Train","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","7-Bag ","0.00","195.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204624","2026-05-10","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22-Bag","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204831","2026-05-31","Road","NOKA FRIEGHT CARRIERS PVT LTD","DELHI-STATION","PANTNAGAR","NOKA FRIEGHT CARRIERS PVT LTD","NOKA FRIEGHT CARRIERS PVT LTD","921","0.00","19622.00","AUTO PARTS","Client",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204626","2026-05-11","Road","SKY 4 PUNE","DELHI-AIRPORT","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","06","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204627","2026-05-11","Road","SKY 4 PUNE","DELHI-STATION","PANTNAGAR","L & L PRODICTS INDIA PVT. LTD.","L & L PRODICTS INDIA PVT. LTD.","21","0.00","0.00","AUTO PART","Client",,"SUNIL","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204628","2026-05-11","Road Express","HIMALAYAN AUTO ERA PVT LTD","PUNE","PANTNAGAR","ATHARVA FOUNDRIES PVT. LTD.","HIMALAYAN AUTO ERA PVT LTD","100","0.00","1100.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204629","2026-05-11","Road","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","HARIHARESHWAR AUOT TECH PRIVATE LIMITED","16-Bag","0.00","400.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204630","2026-05-11","Air","U. S. AUTO CONTROLS PVT LTD ","PUNE","PANTNAGAR","U. S. AUTO CONTROLS PVT LTD ","HARIHARESHWAR AUOT TECH PRIVATE LIMITED","5-Bag","0.00","100.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204631","2026-05-11","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","22-Bag","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204632","2026-05-11","Air","REUTTER INNOVATIVE CLOSURE TECHNOLOGIES (P) LTD","CHENNAI","PITHAMPUR","REUTTER INNOVATIVE CLOSURE TECHNOLOGIES (P) LTD","BAPL ROTOTECH PVT. LTD.","3","65.00","65.00","AUTO PARTS ","Client",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204633","2026-05-12","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","20-Box ","0.00","20.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204634","2026-05-12","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","16-Box ","0.00","16.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204635","2026-05-12","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","3-Bag","0.00","0.00","Auto Parts ","Client","NA","SANJIT","1","0.00","0.00","0.00","0.00","0.00","0.00"
